 11 5 5
	0 1217 1107 1428 445 1502	1 29 60 46 14 50	2 516 315 578 201 570	3 1098 569 701 695 297	4 1809 1778 1275 1007 1812
	0 1779 1673 2414 2961 2924	1 2159 1868 2188 528 840	2 2788 3300 1158 1611 3197	3 1039 1228 945 416 657	4 1665 634 1417 402 1671
	0 27 60 32 44 21	1 1668 3318 1709 3726 1639	2 512 253 589 430 258	3 1678 1227 2416 2440 1284	4 3419 2331 1107 2393 3489
	0 1568 1591 1630 2279 2198	1 603 2695 1063 1728 1536	2 697 2003 584 2430 1766	3 156 267 511 403 394	4 2196 976 2100 2391 1955
	0 1803 2554 1557 2132 1165	1 104 169 342 107 107	2 2843 3919 1890 1492 2076	3 254 418 388 131 473	4 3279 3661 2468 4857 1187
	0 1124 3186 1369 2484 2961	1 486 635 862 746 703	2 835 2166 839 1023 860	3 803 591 1099 1256 1222	4 366 541 554 316 281
	0 2191 1614 674 2429 1302	1 499 691 549 879 243	2 568 1952 1183 1333 2416	3 1773 3377 2074 3072 1498	4 2165 1198 1783 1177 2018
	0 29 60 46 69 20	1 249 496 186 486 202	2 473 756 240 477 516	3 625 776 1428 2204 2515	4 3477 3602 2751 3729 3237
	0 1247 816 595 682 800	1 693 813 1295 1967 790	2 2685 1428 2409 2380 1219	3 221 389 1012 396 955	4 1230 1453 1442 2175 2151
	0 3005 2365 2631 3085 2925	1 3770 2786 2160 1748 4272	2 1016 809 406 643 1014	3 768 1047 1187 483 539	4 1293 493 1039 640 525
	0 1969 617 1106 2140 1333	1 929 1433 411 373 430	2 2100 2025 768 1693 1507	3 2439 3314 2134 3317 1441	4 4660 1491 3107 2810 4326
