 13 4 4
	0 772 1016 1253 995	1 165 292 197 266	2 516 495 565 593	3 577 711 547 714
	0 429 624 619 346	1 964 622 535 871	2 1522 1019 1201 1184	3 1226 1173 1271 1222
	0 18 15 19 19	1 197 276 217 241	2 849 791 735 963	3 382 432 494 377
	0 437 431 523 520	1 821 881 790 757	2 415 364 422 308	3 1307 1219 1031 1195
	0 1250 1270 1076 1032	1 696 728 774 1001	2 313 301 374 341	3 381 543 493 422
	0 1127 1204 1803 994	1 288 262 253 175	2 368 579 577 512	3 271 435 436 278
	0 45 31 45 31	1 41 39 24 29	2 206 249 229 264	3 620 595 748 606
	0 1536 1681 1434 1702	1 535 584 981 703	2 35 28 35 27	3 1131 1773 1883 1317
	0 207 174 180 201	1 967 1144 1593 1752	2 958 941 658 1035	3 979 572 622 867
	0 1252 1496 1364 1325	1 551 918 733 940	2 627 396 542 586	3 317 422 447 427
	0 333 268 308 288	1 264 398 347 235	2 903 1204 1391 995	3 1039 1264 1072 1187
	0 1027 1293 1244 1366	1 1306 835 1350 1225	2 936 983 1204 1533	3 663 629 873 1008
	0 448 596 450 302	1 553 894 747 771	2 353 262 224 388	3 634 387 611 576
