 12 5 5
	0 1156 1552 926 825 2250	1 778 2488 2142 2240 1379	2 464 273 124 259 354	3 623 792 423 957 605	4 825 457 801 356 558
	0 2309 2948 1560 2045 3426	1 1259 2853 4055 1276 2562	2 781 645 855 453 984	3 2107 966 846 1034 2403	4 577 360 355 219 175
	0 3578 1208 1387 3292 3148	1 746 1065 1600 2556 3052	2 1552 2838 1681 2405 2614	3 1761 3522 1014 4191 4360	4 1783 2155 909 978 2157
	0 1641 2641 1696 2594 677	1 316 154 482 466 682	2 2319 2910 2456 2430 2519	3 331 1222 1436 473 1533	4 2067 2478 3340 2463 3783
	0 476 274 769 693 317	1 891 3460 1719 940 3829	2 3203 3981 3814 3784 4167	3 731 570 396 421 315	4 2952 2321 2567 2581 2070
	0 279 165 155 189 476	1 369 701 691 810 330	2 1371 1332 380 1315 1291	3 3735 898 3886 1926 867	4 1193 925 1284 588 1363
	0 1667 2016 1849 1893 770	1 2670 2035 766 2813 1915	2 190 515 470 473 154	3 768 673 342 1106 1249	4 987 583 780 220 838
	0 2399 2391 2526 2490 2814	1 234 298 184 414 380	2 1237 3073 3153 1005 1893	3 549 1852 1238 441 2115	4 340 361 286 287 226
	0 1500 1008 1020 2924 1616	1 1529 2399 3330 768 3334	2 1413 397 1235 422 698	3 856 1044 2219 1368 1502	4 2072 695 2033 1929 544
	0 1951 1791 1028 1925 724	1 1438 1478 1792 1095 840	2 367 365 436 259 442	3 997 354 603 1030 708	4 3255 3252 3262 1559 2994
	0 1036 517 808 541 312	1 292 156 545 179 684	2 297 489 249 568 169	3 1699 1103 1908 1336 879	4 1437 1529 1181 2810 3201
	0 397 395 206 347 454	1 896 1115 432 274 972	2 3344 875 2362 885 2442	3 899 626 1053 673 851	4 2442 1358 1085 1671 584
