 12 5 5
	0 573 665 772 852 772	1 607 641 635 1045 543	2 123 215 211 136 139	3 401 369 288 246 242	4 328 260 417 330 377
	0 1215 1356 1544 1253 1360	1 1192 1391 1406 1701 1324	2 284 278 337 340 344	3 1051 1009 716 764 663	4 225 156 209 132 165
	0 1233 1083 1261 1215 1310	1 1195 1030 868 937 1045	2 755 883 1174 641 594	3 1355 1644 1547 1299 1753	4 497 592 712 552 618
	0 943 1041 839 1062 868	1 152 256 252 179 251	2 1163 1176 1228 920 948	3 328 515 510 401 489	4 971 1201 1075 1296 1307
	0 378 408 211 392 346	1 1176 1392 1568 1245 1057	2 1673 1250 1331 1192 1088	3 282 158 243 151 190	4 1636 905 1573 906 1578
	0 155 180 246 159 158	1 386 270 366 297 247	2 644 368 525 662 600	3 1521 971 1690 1515 1079	4 1020 544 962 764 854
	0 721 610 735 621 527	1 1047 1367 837 1227 1102	2 223 233 250 166 231	3 379 480 371 487 327	4 261 298 304 225 306
	0 1231 1151 1474 1377 864	1 192 216 162 228 155	2 783 1122 1177 1026 1205	3 592 521 687 830 734	4 126 164 124 171 221
	0 1454 1443 1578 1649 1303	1 868 1215 834 714 1275	2 563 510 508 555 389	3 802 885 773 812 627	4 650 553 802 527 706
	0 734 1058 1018 1036 562	1 588 643 1056 877 985	2 102 135 158 175 170	3 610 437 341 405 350	4 1128 1473 1330 992 1536
	0 232 260 397 406 255	1 267 276 277 288 280	2 176 201 223 162 139	3 499 460 537 504 517	4 894 1282 1702 1719 1708
	0 168 139 212 194 170	1 376 449 332 479 322	2 1176 841 993 1299 1430	3 336 357 392 428 275	4 698 552 776 776 754
