 14 4 4
	0 1469 855 1375 670	1 1207 2363 4050 1507	2 1212 2102 4342 3513	3 768 3012 2537 2289
	0 3779 2836 1804 2992	1 3212 3321 2354 3347	2 98 84 102 35	3 965 428 1147 502
	0 1283 2455 2183 1918	1 876 217 435 258	2 1756 1959 2099 795	3 432 274 582 218
	0 963 1037 468 718	1 1087 587 509 1259	2 611 334 1050 1310	3 1063 2182 3538 3340
	0 671 700 850 1380	1 3420 3322 3659 4245	2 433 411 235 179	3 433 839 775 805
	0 386 879 749 304	1 2101 1914 1030 1643	2 1907 2919 2349 2872	3 1530 1456 1490 2197
	0 2153 1426 2293 1484	1 155 443 458 395	2 266 401 181 468	3 3165 2995 1120 1369
	0 877 320 776 679	1 1419 1076 1770 1369	2 856 775 2014 2126	3 753 1032 701 327
	0 263 392 358 417	1 1028 3032 2118 3669	2 638 544 408 282	3 1758 608 2096 1292
	0 3525 1684 1260 1285	1 396 1199 1365 1095	2 2962 3319 3495 3011	3 2453 1450 1247 1314
	0 1289 3144 974 1302	1 392 169 344 612	2 788 523 942 722	3 587 338 665 756
	0 2496 1240 1376 570	1 16 44 30 24	2 775 985 494 613	3 896 664 2637 1165
	0 14 34 53 37	1 513 668 522 529	2 3487 1706 2139 4270	3 1402 3952 2073 1850
	0 1249 782 550 1852	1 3060 3210 2974 2805	2 390 591 343 230	3 1315 1373 4520 1068
