 10 6 6
	0 427 537 400 1640 500 1061	1 1049 1410 2112 1234 4465 1562	2 3276 2384 3794 3485 3684 2142	3 538 148 inf 158 248 146	4 464 624 inf 470 256 inf	5 513 1105 917 730 1098 929
	0 1091 1307 1016 496 1231 1445	1 477 181 189 315 531 478	2 1582 1052 2130 2515 965 2944	3 518 1389 inf 503 2208 1449	4 1948 1614 inf 1887 1195 inf	5 988 1225 844 683 1948 2017
	0 1143 1098 1170 873 1042 958	1 273 371 318 282 1017 728	2 511 222 739 824 580 790	3 3454 3016 inf 2343 2712 3463	4 702 556 inf 557 1013 inf	5 1679 691 2225 2888 2591 2762
	0 408 471 512 253 916 1024	1 696 444 590 745 423 798	2 210 130 381 208 395 515	3 1938 3684 inf 4154 1014 3315	4 2294 3551 inf 2098 3581 inf	5 2219 576 1464 1249 1500 2284
	0 539 739 985 721 1041 1195	1 2181 1113 1946 941 2270 1234	2 290 262 167 525 482 604	3 1673 1888 inf 1635 1134 694	4 556 564 inf 309 641 inf	5 693 387 248 395 622 460
	0 2202 2062 886 2262 1074 2463	1 1808 825 1909 2716 2191 882	2 2248 1912 2185 1604 1391 2245	3 791 983 inf 281 370 775	4 2416 3159 inf 728 2233 inf	5 2078 1349 1016 1195 1847 1357
	0 2266 1228 2438 2312 1466 1631	1 1878 4191 2252 3209 4136 1937	2 2172 3061 1709 2202 1104 1894	3 398 340 inf 480 291 255	4 2270 2112 inf 719 1470 inf	5 35 42 37 54 31 31
	0 2161 2878 2075 2630 3265 2926	1 2990 3234 3781 4709 2987 1501	2 1239 2796 1289 2379 2303 3426	3 1357 723 inf 2255 1719 1656	4 165 170 inf 600 509 inf	5 27 41 42 25 18 67
	0 993 1438 3396 2935 4390 1702	1 984 2359 2194 1900 649 1235	2 2486 1218 2077 1216 2606 1206	3 1847 4258 inf 1885 3120 3869	4 547 809 inf 528 392 inf	5 2121 865 2360 1162 2326 583
	0 4255 2613 1429 3449 3456 4520	1 3012 3415 2508 1316 1584 3749	2 583 864 530 913 642 603	3 904 1269 inf 1783 2968 2174	4 682 1247 inf 932 478 inf	5 1363 1605 1241 2304 1298 2274
