"set","instance","variation","incompatibilities","n","m","makespan.bkv","makespan.cplex","gap"
"carlier",1,"i",0,11,5,9952,9952,9.6293865
"carlier",1,"i",1,11,5,9952,9952,12.26226989
"carlier",1,"i",2,11,5,9952,9952,11.91720257
"carlier",2,"i",0,13,4,10224,10224,23.57360526
"carlier",2,"i",1,13,4,10224,10224,27.02670363
"carlier",2,"i",2,13,4,10398,10398,27.64431756
"carlier",3,"i",0,12,5,10268,10495,25.44021969
"carlier",3,"i",1,12,5,10359,10397,23.86256859
"carlier",3,"i",2,12,5,10359,10359,18.72680715
"carlier",4,"i",0,14,4,11613,11613,40.49771807
"carlier",4,"i",1,14,4,11846,11929,41.19846187
"carlier",4,"i",2,14,4,11876,11901,41.72494246
"carlier",5,"i",0,10,6,10589,10806,15.36984228
"carlier",5,"i",1,10,6,10589,10867,17.34328051
"carlier",5,"i",2,10,6,10848,10971,11.28400227
"carlier",6,"i",0,8,9,11044,11243,11.31267842
"carlier",6,"i",1,8,9,11044,11509,12.39197359
"carlier",6,"i",2,8,9,11118,11312,11.88269066
"carlier",7,"i",0,7,7,8558,8558,9.234e-05
"carlier",7,"i",1,7,7,8558,8558,8.977e-05
"carlier",7,"i",2,7,7,8558,8558,0
"carlier",8,"i",0,8,8,11533,11766,8.74654918
"carlier",8,"i",1,8,8,11659,11751,6.97084255
"carlier",8,"i",2,8,8,11742,11742,8.26148464
"carlier",1,"I",0,11,5,19508,19508,21.65265532
"carlier",1,"I",1,11,5,19831,19831,22.4339244
"carlier",1,"I",2,11,5,19831,19831,11.11895517
"carlier",2,"I",0,13,4,19876,19877,27.72064309
"carlier",2,"I",1,13,4,19876,20144,26.36740944
"carlier",2,"I",2,13,4,19876,19876,30.23272112
"carlier",3,"I",0,12,5,19498,19554,23.68562529
"carlier",3,"I",1,12,5,19498,19554,25.13484833
"carlier",3,"I",2,12,5,19498,19554,23.09444452
"carlier",4,"I",0,14,4,20381,20381,28.97796968
"carlier",4,"I",1,14,4,22270,22270,32.85345318
"carlier",4,"I",2,14,4,22270,23652,26.01333577
"carlier",5,"I",0,10,6,18693,19527,19.02924373
"carlier",5,"I",1,10,6,18693,18716,14.62201805
"carlier",5,"I",2,10,6,19468,20385,22.17649898
"carlier",6,"I",0,8,9,20070,20901,18.56908022
"carlier",6,"I",1,8,9,20070,20635,15.385962
"carlier",6,"I",2,8,9,20070,20139,11.1971796
"carlier",7,"I",0,7,7,16423,16423,11.8413289
"carlier",7,"I",1,7,7,17067,17067,6.62253005
"carlier",7,"I",2,7,7,17257,17285,9.47945502
"carlier",8,"I",0,8,8,19159,19895,19.34441474
"carlier",8,"I",1,8,8,19159,19335,11.72563681
"carlier",8,"I",2,8,8,19791,20319,16.0872917
"taillard",1,"i",0,20,5,1820,1896,60.36805814
"taillard",1,"i",1,20,5,1834,1923,62.70192405
"taillard",1,"i",2,20,5,1834,1950,63.40953718
"taillard",2,"i",0,20,5,1830,1900,67.84907124
"taillard",2,"i",1,20,5,1830,1905,65.16656572
"taillard",2,"i",2,20,5,1830,1926,67.41500103
"taillard",3,"i",0,20,5,1577,1676,58.46474242
"taillard",3,"i",1,20,5,1595,1698,58.43957988
