"set","instance","variation","incompatibilities","replication","makespan","time"
"carlier",1,"I",0,0,19508,0
"carlier",1,"I",0,1,19508,0
"carlier",1,"I",0,2,19508,0
"carlier",1,"I",0,3,19508,0
"carlier",1,"I",0,4,19508,0
"carlier",1,"I",0,5,19508,0
"carlier",1,"I",0,6,19508,1
"carlier",1,"I",0,7,19508,2
"carlier",1,"I",0,8,19508,1
"carlier",1,"I",0,9,19508,1
"carlier",1,"I",0,10,19508,1
"carlier",1,"I",0,11,19508,2
"carlier",1,"I",0,12,19508,1
"carlier",1,"I",0,13,19508,2
"carlier",1,"I",0,14,19508,0
"carlier",1,"I",0,15,19508,0
"carlier",1,"I",0,16,19508,0
"carlier",1,"I",0,17,19508,0
"carlier",1,"I",0,18,19508,1
"carlier",1,"I",0,19,19508,0
"carlier",1,"I",0,20,19508,0
"carlier",1,"I",0,21,19508,1
"carlier",1,"I",0,22,19508,0
"carlier",1,"I",0,23,19508,0
"carlier",1,"I",0,24,19508,5
"carlier",1,"I",0,25,19508,2
"carlier",1,"I",0,26,19508,1
"carlier",1,"I",0,27,19508,0
"carlier",1,"I",0,28,19508,1
"carlier",1,"I",0,29,19508,10
"carlier",1,"I",0,30,19508,0
"carlier",1,"I",0,31,19508,0
"carlier",1,"I",0,32,19508,5
"carlier",1,"I",0,33,19508,0
"carlier",1,"I",0,34,19508,0
"carlier",1,"I",0,35,19508,0
"carlier",1,"I",0,36,19508,1
"carlier",1,"I",0,37,19508,0
"carlier",1,"I",0,38,19508,1
"carlier",1,"I",0,39,19508,2
"carlier",1,"I",0,40,19508,0
"carlier",1,"I",0,41,19508,0
"carlier",1,"I",0,42,19508,1
"carlier",1,"I",0,43,19508,0
"carlier",1,"I",0,44,19508,0
"carlier",1,"I",0,45,19508,2
"carlier",1,"I",0,46,19508,0
"carlier",1,"I",0,47,19508,0
"carlier",1,"I",0,48,19508,0
"carlier",1,"I",0,49,19508,2
"carlier",1,"I",1,0,19831,0
"carlier",1,"I",1,1,19831,0
"carlier",1,"I",1,2,19831,0
"carlier",1,"I",1,3,19831,0
"carlier",1,"I",1,4,19831,1
"carlier",1,"I",1,5,19831,5
"carlier",1,"I",1,6,19831,3
"carlier",1,"I",1,7,19831,0
"carlier",1,"I",1,8,19831,0
"carlier",1,"I",1,9,19831,2
"carlier",1,"I",1,10,19831,2
"carlier",1,"I",1,11,19831,1
"carlier",1,"I",1,12,19831,0
"carlier",1,"I",1,13,19831,0
"carlier",1,"I",1,14,19831,0
"carlier",1,"I",1,15,19831,3
"carlier",1,"I",1,16,19831,0
"carlier",1,"I",1,17,19831,0
"carlier",1,"I",1,18,19831,0
"carlier",1,"I",1,19,19831,2
"carlier",1,"I",1,20,19831,0
"carlier",1,"I",1,21,19831,0
"carlier",1,"I",1,22,19831,9
"carlier",1,"I",1,23,19831,0
"carlier",1,"I",1,24,19831,1
"carlier",1,"I",1,25,19831,1
"carlier",1,"I",1,26,19831,1
"carlier",1,"I",1,27,19831,0
"carlier",1,"I",1,28,19831,2
"carlier",1,"I",1,29,19831,0
"carlier",1,"I",1,30,19831,0
"carlier",1,"I",1,31,19831,0
"carlier",1,"I",1,32,19831,1
"carlier",1,"I",1,33,19831,1
"carlier",1,"I",1,34,19831,6
"carlier",1,"I",1,35,19831,0
"carlier",1,"I",1,36,19831,1
"carlier",1,"I",1,37,19831,3
"carlier",1,"I",1,38,19831,1
"carlier",1,"I",1,39,19831,1
"carlier",1,"I",1,40,19831,0
"carlier",1,"I",1,41,19831,2
"carlier",1,"I",1,42,19831,0
"carlier",1,"I",1,43,19831,5
"carlier",1,"I",1,44,19831,1
"carlier",1,"I",1,45,19831,0
"carlier",1,"I",1,46,19831,0
"carlier",1,"I",1,47,19831,0
"carlier",1,"I",1,48,19831,0
"carlier",1,"I",1,49,19831,1
"carlier",1,"I",2,0,19831,0
"carlier",1,"I",2,1,19831,0
"carlier",1,"I",2,2,19831,5
"carlier",1,"I",2,3,19831,0
"carlier",1,"I",2,4,19831,0
"carlier",1,"I",2,5,19831,0
"carlier",1,"I",2,6,19831,0
"carlier",1,"I",2,7,19831,0
"carlier",1,"I",2,8,19831,5
"carlier",1,"I",2,9,19831,1
"carlier",1,"I",2,10,19831,0
"carlier",1,"I",2,11,19831,2
"carlier",1,"I",2,12,19831,0
"carlier",1,"I",2,13,19831,0
"carlier",1,"I",2,14,19831,2
"carlier",1,"I",2,15,19831,1
"carlier",1,"I",2,16,19831,1
"carlier",1,"I",2,17,19831,0
"carlier",1,"I",2,18,19831,0
"carlier",1,"I",2,19,19831,5
"carlier",1,"I",2,20,19831,0
"carlier",1,"I",2,21,19831,2
"carlier",1,"I",2,22,19831,0
"carlier",1,"I",2,23,19831,0
"carlier",1,"I",2,24,19831,1
"carlier",1,"I",2,25,19831,3
"carlier",1,"I",2,26,19831,1
"carlier",1,"I",2,27,19831,0
"carlier",1,"I",2,28,19831,0
"carlier",1,"I",2,29,19831,1
"carlier",1,"I",2,30,19831,0
"carlier",1,"I",2,31,19831,0
"carlier",1,"I",2,32,19831,0
"carlier",1,"I",2,33,19831,1
"carlier",1,"I",2,34,19831,1
"carlier",1,"I",2,35,19831,1
"carlier",1,"I",2,36,19831,0
"carlier",1,"I",2,37,19831,1
"carlier",1,"I",2,38,19831,3
"carlier",1,"I",2,39,19831,1
"carlier",1,"I",2,40,19831,0
"carlier",1,"I",2,41,19831,0
"carlier",1,"I",2,42,19831,0
"carlier",1,"I",2,43,19831,0
"carlier",1,"I",2,44,19831,0
"carlier",1,"I",2,45,19831,0
"carlier",1,"I",2,46,19831,0
"carlier",1,"I",2,47,19831,0
"carlier",1,"I",2,48,19831,0
"carlier",1,"I",2,49,19831,0
"carlier",1,"i",0,0,9952,0
"carlier",1,"i",0,1,9952,2
"carlier",1,"i",0,2,9952,17
"carlier",1,"i",0,3,9952,0
"carlier",1,"i",0,4,9952,1
"carlier",1,"i",0,5,9952,7
"carlier",1,"i",0,6,9952,2
"carlier",1,"i",0,7,9952,21
"carlier",1,"i",0,8,9952,1
"carlier",1,"i",0,9,9952,3
"carlier",1,"i",0,10,9952,0
"carlier",1,"i",0,11,9952,5
"carlier",1,"i",0,12,9952,5
"carlier",1,"i",0,13,9952,1
"carlier",1,"i",0,14,9952,5
"carlier",1,"i",0,15,9952,10
"carlier",1,"i",0,16,9952,7
"carlier",1,"i",0,17,9952,1
"carlier",1,"i",0,18,9952,2
"carlier",1,"i",0,19,9952,10
"carlier",1,"i",0,20,9952,0
"carlier",1,"i",0,21,9952,3
"carlier",1,"i",0,22,9952,1
"carlier",1,"i",0,23,9952,3
"carlier",1,"i",0,24,9952,5
"carlier",1,"i",0,25,9952,3
"carlier",1,"i",0,26,9952,10
"carlier",1,"i",0,27,9952,3
"carlier",1,"i",0,28,9952,0
"carlier",1,"i",0,29,9952,11
"carlier",1,"i",0,30,9952,0
"carlier",1,"i",0,31,9952,0
"carlier",1,"i",0,32,9952,1
"carlier",1,"i",0,33,9952,1
"carlier",1,"i",0,34,9952,7
"carlier",1,"i",0,35,9952,1
"carlier",1,"i",0,36,9952,7
"carlier",1,"i",0,37,9952,9
"carlier",1,"i",0,38,9952,0
"carlier",1,"i",0,39,9952,2
"carlier",1,"i",0,40,9952,1
"carlier",1,"i",0,41,9952,2
"carlier",1,"i",0,42,9952,3
"carlier",1,"i",0,43,9952,7
"carlier",1,"i",0,44,9952,1
"carlier",1,"i",0,45,9952,5
"carlier",1,"i",0,46,9952,1
"carlier",1,"i",0,47,9952,5
"carlier",1,"i",0,48,9952,7
"carlier",1,"i",0,49,9952,3
"carlier",1,"i",1,0,9952,1
"carlier",1,"i",1,1,9952,5
"carlier",1,"i",1,2,9952,1
"carlier",1,"i",1,3,9952,11
"carlier",1,"i",1,4,9952,6
"carlier",1,"i",1,5,9952,5
"carlier",1,"i",1,6,9952,2
"carlier",1,"i",1,7,9952,1
"carlier",1,"i",1,8,9952,3
"carlier",1,"i",1,9,9952,2
"carlier",1,"i",1,10,9952,0
"carlier",1,"i",1,11,9952,3
"carlier",1,"i",1,12,9952,2
"carlier",1,"i",1,13,9952,0
"carlier",1,"i",1,14,9952,3
"carlier",1,"i",1,15,9952,6
"carlier",1,"i",1,16,9952,7
"carlier",1,"i",1,17,9952,3
"carlier",1,"i",1,18,9952,12
"carlier",1,"i",1,19,9952,9
"carlier",1,"i",1,20,9952,0
"carlier",1,"i",1,21,9952,5
"carlier",1,"i",1,22,9952,10
"carlier",1,"i",1,23,9952,0
"carlier",1,"i",1,24,9952,11
"carlier",1,"i",1,25,9952,5
"carlier",1,"i",1,26,9952,3
"carlier",1,"i",1,27,9952,1
"carlier",1,"i",1,28,9952,9
"carlier",1,"i",1,29,9952,21
"carlier",1,"i",1,30,9952,0
"carlier",1,"i",1,31,9952,2
"carlier",1,"i",1,32,9952,2
"carlier",1,"i",1,33,9952,3
"carlier",1,"i",1,34,9952,3
"carlier",1,"i",1,35,9952,6
"carlier",1,"i",1,36,9952,14
"carlier",1,"i",1,37,9952,1
"carlier",1,"i",1,38,9952,10
"carlier",1,"i",1,39,9952,9
"carlier",1,"i",1,40,9952,0
"carlier",1,"i",1,41,9952,2
"carlier",1,"i",1,42,9952,5
"carlier",1,"i",1,43,9952,0
"carlier",1,"i",1,44,9952,2
"carlier",1,"i",1,45,9952,3
"carlier",1,"i",1,46,9952,2
"carlier",1,"i",1,47,9952,5
"carlier",1,"i",1,48,9952,5
"carlier",1,"i",1,49,9952,2
"carlier",1,"i",2,0,9952,0
"carlier",1,"i",2,1,9952,9
"carlier",1,"i",2,2,9952,7
"carlier",1,"i",2,3,9952,2
"carlier",1,"i",2,4,9952,3
"carlier",1,"i",2,5,9952,5
"carlier",1,"i",2,6,9952,0
"carlier",1,"i",2,7,9952,0
"carlier",1,"i",2,8,9952,3
"carlier",1,"i",2,9,9952,5
"carlier",1,"i",2,10,9952,0
"carlier",1,"i",2,11,9952,1
"carlier",1,"i",2,12,9952,0
"carlier",1,"i",2,13,9952,2
"carlier",1,"i",2,14,9952,0
"carlier",1,"i",2,15,9952,1
"carlier",1,"i",2,16,9952,1
"carlier",1,"i",2,17,9952,1
"carlier",1,"i",2,18,9952,5
"carlier",1,"i",2,19,9952,0
"carlier",1,"i",2,20,9952,0
"carlier",1,"i",2,21,9952,3
"carlier",1,"i",2,22,9952,3
"carlier",1,"i",2,23,9952,5
"carlier",1,"i",2,24,9952,1
"carlier",1,"i",2,25,9952,2
"carlier",1,"i",2,26,9952,0
"carlier",1,"i",2,27,9952,3
"carlier",1,"i",2,28,9952,2
"carlier",1,"i",2,29,9952,5
"carlier",1,"i",2,30,9952,1
"carlier",1,"i",2,31,9952,3
"carlier",1,"i",2,32,9952,0
"carlier",1,"i",2,33,9952,10
"carlier",1,"i",2,34,9952,5
"carlier",1,"i",2,35,9952,5
"carlier",1,"i",2,36,9952,0
"carlier",1,"i",2,37,9952,0
"carlier",1,"i",2,38,9952,0
"carlier",1,"i",2,39,9952,12
"carlier",1,"i",2,40,9952,0
"carlier",1,"i",2,41,9952,0
"carlier",1,"i",2,42,9952,0
"carlier",1,"i",2,43,9952,0
"carlier",1,"i",2,44,9952,1
"carlier",1,"i",2,45,9952,2
"carlier",1,"i",2,46,9952,2
"carlier",1,"i",2,47,9952,1
"carlier",1,"i",2,48,9952,5
"carlier",1,"i",2,49,9952,0
"carlier",2,"I",0,0,19876,39
"carlier",2,"I",0,1,19876,274
"carlier",2,"I",0,2,19876,190
"carlier",2,"I",0,3,19876,40
"carlier",2,"I",0,4,19876,179
"carlier",2,"I",0,5,19876,161
"carlier",2,"I",0,6,19876,179
"carlier",2,"I",0,7,19876,262
"carlier",2,"I",0,8,19876,49
"carlier",2,"I",0,9,19876,30
"carlier",2,"I",0,10,19876,0
"carlier",2,"I",0,11,19876,60
"carlier",2,"I",0,12,19876,41
"carlier",2,"I",0,13,19876,39
"carlier",2,"I",0,14,19876,275
"carlier",2,"I",0,15,19876,295
"carlier",2,"I",0,16,19876,110
"carlier",2,"I",0,17,19876,29
"carlier",2,"I",0,18,19876,224
"carlier",2,"I",0,19,19876,68
"carlier",2,"I",0,20,19876,0
"carlier",2,"I",0,21,19876,391
"carlier",2,"I",0,22,19876,56
"carlier",2,"I",0,23,19876,369
"carlier",2,"I",0,24,19876,46
"carlier",2,"I",0,25,19876,34
"carlier",2,"I",0,26,19876,56
"carlier",2,"I",0,27,19876,176
"carlier",2,"I",0,28,19876,42
"carlier",2,"I",0,29,19876,1
"carlier",2,"I",0,30,19876,0
"carlier",2,"I",0,31,19876,143
"carlier",2,"I",0,32,19876,20
"carlier",2,"I",0,33,19876,215
"carlier",2,"I",0,34,19876,19
"carlier",2,"I",0,35,19876,22
"carlier",2,"I",0,36,19876,41
"carlier",2,"I",0,37,19876,135
"carlier",2,"I",0,38,19876,10
"carlier",2,"I",0,39,19876,198
"carlier",2,"I",0,40,19876,53
"carlier",2,"I",0,41,19876,159
"carlier",2,"I",0,42,19876,17
"carlier",2,"I",0,43,19876,20
"carlier",2,"I",0,44,19876,26
"carlier",2,"I",0,45,19876,58
"carlier",2,"I",0,46,19876,33
"carlier",2,"I",0,47,19876,7
"carlier",2,"I",0,48,19876,93
"carlier",2,"I",0,49,19876,123
"carlier",2,"I",1,0,19876,31
"carlier",2,"I",1,1,19876,1
"carlier",2,"I",1,2,19876,86
"carlier",2,"I",1,3,19876,115
"carlier",2,"I",1,4,19876,25
"carlier",2,"I",1,5,19876,30
"carlier",2,"I",1,6,19876,141
"carlier",2,"I",1,7,19876,258
"carlier",2,"I",1,8,19876,36
"carlier",2,"I",1,9,19876,69
"carlier",2,"I",1,10,19876,15
"carlier",2,"I",1,11,19876,27
"carlier",2,"I",1,12,19876,49
"carlier",2,"I",1,13,19876,31
"carlier",2,"I",1,14,19876,110
"carlier",2,"I",1,15,19876,45
"carlier",2,"I",1,16,19876,18
"carlier",2,"I",1,17,19876,5
"carlier",2,"I",1,18,19876,12
"carlier",2,"I",1,19,19876,27
"carlier",2,"I",1,20,19876,97
"carlier",2,"I",1,21,19876,85
"carlier",2,"I",1,22,19876,168
"carlier",2,"I",1,23,19876,11
"carlier",2,"I",1,24,19876,114
"carlier",2,"I",1,25,19876,24
"carlier",2,"I",1,26,19876,185
"carlier",2,"I",1,27,19876,67
"carlier",2,"I",1,28,19876,46
"carlier",2,"I",1,29,19876,81
"carlier",2,"I",1,30,19876,0
"carlier",2,"I",1,31,19876,18
"carlier",2,"I",1,32,19876,38
"carlier",2,"I",1,33,19876,26
"carlier",2,"I",1,34,19876,75
"carlier",2,"I",1,35,19876,49
"carlier",2,"I",1,36,19876,11
"carlier",2,"I",1,37,19876,29
"carlier",2,"I",1,38,19876,102
"carlier",2,"I",1,39,19876,75
"carlier",2,"I",1,40,19876,0
"carlier",2,"I",1,41,19876,61
"carlier",2,"I",1,42,19876,22
"carlier",2,"I",1,43,19876,253
"carlier",2,"I",1,44,19876,52
"carlier",2,"I",1,45,19876,35
"carlier",2,"I",1,46,19876,78
"carlier",2,"I",1,47,19876,24
"carlier",2,"I",1,48,19876,62
"carlier",2,"I",1,49,19876,38
"carlier",2,"I",2,0,19876,0
"carlier",2,"I",2,1,19876,6
"carlier",2,"I",2,2,19876,81
"carlier",2,"I",2,3,19876,19
"carlier",2,"I",2,4,19876,37
"carlier",2,"I",2,5,19876,24
"carlier",2,"I",2,6,19876,12
"carlier",2,"I",2,7,19876,36
"carlier",2,"I",2,8,19876,81
"carlier",2,"I",2,9,19876,2
"carlier",2,"I",2,10,19876,0
"carlier",2,"I",2,11,19876,1
"carlier",2,"I",2,12,19876,94
"carlier",2,"I",2,13,19876,22
"carlier",2,"I",2,14,19876,5
"carlier",2,"I",2,15,19876,36
"carlier",2,"I",2,16,19876,160
"carlier",2,"I",2,17,19876,74
"carlier",2,"I",2,18,19876,66
"carlier",2,"I",2,19,19876,18
"carlier",2,"I",2,20,19876,0
"carlier",2,"I",2,21,19876,15
"carlier",2,"I",2,22,19876,54
"carlier",2,"I",2,23,19876,40
"carlier",2,"I",2,24,19876,66
"carlier",2,"I",2,25,19876,34
"carlier",2,"I",2,26,19876,78
"carlier",2,"I",2,27,19876,23
"carlier",2,"I",2,28,19876,45
"carlier",2,"I",2,29,19876,68
"carlier",2,"I",2,30,19876,3
"carlier",2,"I",2,31,19876,35
"carlier",2,"I",2,32,19876,44
"carlier",2,"I",2,33,19876,50
"carlier",2,"I",2,34,19876,20
"carlier",2,"I",2,35,19876,18
"carlier",2,"I",2,36,19876,10
"carlier",2,"I",2,37,19876,9
"carlier",2,"I",2,38,19876,61
"carlier",2,"I",2,39,19876,15
"carlier",2,"I",2,40,19876,0
"carlier",2,"I",2,41,19876,11
"carlier",2,"I",2,42,19876,17
"carlier",2,"I",2,43,19876,76
"carlier",2,"I",2,44,19876,1
"carlier",2,"I",2,45,19876,47
"carlier",2,"I",2,46,19876,21
"carlier",2,"I",2,47,19876,74
"carlier",2,"I",2,48,19876,1
"carlier",2,"I",2,49,19876,44
"carlier",2,"i",0,0,10224,0
"carlier",2,"i",0,1,10224,6
"carlier",2,"i",0,2,10224,2
"carlier",2,"i",0,3,10224,13
"carlier",2,"i",0,4,10224,19
"carlier",2,"i",0,5,10224,23
"carlier",2,"i",0,6,10224,1
"carlier",2,"i",0,7,10224,37
"carlier",2,"i",0,8,10224,6
"carlier",2,"i",0,9,10224,5
"carlier",2,"i",0,10,10224,1
"carlier",2,"i",0,11,10224,5
"carlier",2,"i",0,12,10224,7
"carlier",2,"i",0,13,10224,19
"carlier",2,"i",0,14,10224,23
"carlier",2,"i",0,15,10224,73
"carlier",2,"i",0,16,10224,106
"carlier",2,"i",0,17,10224,19
"carlier",2,"i",0,18,10224,3
"carlier",2,"i",0,19,10224,10
"carlier",2,"i",0,20,10224,0
"carlier",2,"i",0,21,10224,11
"carlier",2,"i",0,22,10224,14
"carlier",2,"i",0,23,10224,9
